"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"IMG 1",not_delivering,"Con el presupuesto de la campaña",0,12271,1046,982,50,28,2.545825,438.25,11,actions:offsite_conversion.fb_pixel_complete_registration,1115.54545455,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",11731.357553,,1.065173,
2025-11-01,2026-03-20,"flyer invitacional",not_delivering,"Con el presupuesto de la campaña",0,20,2,2,0,,0,,,,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",10000,,1,
2025-11-01,2026-03-20,"IMG 3",not_delivering,"Con el presupuesto de la campaña",0,132,19,17,0,,0,,,,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",6947.368421,,1.117647,
2025-11-01,2026-03-20,"IMG 4",not_delivering,"Con el presupuesto de la campaña",0,9286,1086,883,28,20,2.151755,464.3,6,actions:offsite_conversion.fb_pixel_complete_registration,1547.66666667,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",8550.644567,,1.229898,
2025-11-01,2026-03-20,"VID 1",not_delivering,"Con el presupuesto de la campaña",0,877,60,55,4,3,3.636364,292.333333,4,actions:offsite_conversion.fb_pixel_complete_registration,219.25,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",14616.666667,,1.090909,
2025-11-01,2026-03-20,"VID 2",not_delivering,"Con el presupuesto de la campaña",0,2532,189,162,8,7,4.320988,361.714286,2,actions:offsite_conversion.fb_pixel_complete_registration,1266,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",13396.825397,,1.166667,
2025-11-01,2026-03-20,"vid 1",inactive,15000,Diario,14813,1281,963,26,18,1.765317,822.944444,2,actions:offsite_conversion.fb_pixel_complete_registration,7406.5,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-17T15:55:27-0500,Promedio,Promedio,"Por encima del promedio","GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",11563.62217,,1.330218,
2025-11-01,2026-03-20,"IMG 5",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 2",not_delivering,15000,Diario,46353,6110,3217,76,45,1.274479,1030.066667,16,actions:offsite_conversion.fb_pixel_complete_registration,2897.0625,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-17T15:55:27-0500,Promedio,Promedio,"Por encima del promedio","GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",7586.415712,,1.899285,
2025-11-01,2026-03-20,"VID 4",not_delivering,"Con el presupuesto de la campaña",0,820,65,64,4,1,1.5625,820,1,actions:offsite_conversion.fb_pixel_complete_registration,820,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-13T00:22:20-0500,-,-,-,"ADVTG DIRECTO",12615.384615,,1.015625,
2025-11-01,2026-03-20,"IMG 3",not_delivering,15000,Diario,16592,2170,1716,35,15,0.815851,1106.133333,2,actions:offsite_conversion.fb_pixel_complete_registration,8296,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-03-17T15:55:27-0500,-,-,-,"GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",7646.082949,,1.264569,
2025-11-01,2026-03-20,"vid 2",inactive,15000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2026-03-17T15:55:27-0500,-,-,-,"GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",0,,0,
2025-11-01,2026-03-20,"VIDEO 1",not_delivering,35000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-12T19:12:26-0500,-,-,-,"EFFIWOMAN - ADVTG - PROMPT DIRECTO - VIDEO 1",0,,0,
2025-11-01,2026-03-20,"IMG 1",not_delivering,40000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-20T19:20:09-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",0,,0,
